type,date,state
CUSTOM,06081999,MI
CUSTOM,07222003,MI
NOVEMBER CONSOLIDATED,11082005,MI
CUSTOM,06172002,MI
CUSTOM,06042004,MI
CUSTOM,08192003,MI
CUSTOM,01142002,MI
CUSTOM,03062001,MI
CUSTOM,09271999,MI
FEBRUARY CONSOLIDATED,02282006,MI
CUSTOM,10251999,MI
CUSTOM,05092003,MI
STATE GENERAL,11022010,MI
CUSTOM,12092003,MI
CUSTOM,04152003,MI
CUSTOM,04052004,MI
CUSTOM,04022001,MI
CUSTOM,03301999,MI
CUSTOM,06302000,MI
CUSTOM,03082000,MI
CUSTOM,10142003,MI
NOVEMBER CONSOLIDATED,11032015,MI
CUSTOM,09102002,MI
CUSTOM,09302005,MI
CUSTOM,09291998,MI
CUSTOM,02102001,MI
CUSTOM,03161999,MI
CUSTOM,02182004,MI
CUSTOM,09222001,MI
MAY CONSOLIDATED,05062008,MI
CUSTOM,09162002,MI
CUSTOM,10022001,MI
CUSTOM,06122002,MI
CUSTOM,11092004,MI
CUSTOM,11051995,MI
CUSTOM,08172002,MI
CUSTOM,01062004,MI
CUSTOM,09181999,MI
CUSTOM,03052001,MI
AUGUST CONSOLIDATED,08022005,MI
FEBRUARY CONSOLIDATED,02252014,MI
CUSTOM,04082001,MI
CUSTOM,08042001,MI
CUSTOM,10111999,MI
CUSTOM,09132005,MI
CUSTOM,02042003,MI
CUSTOM,01032002,MI
CUSTOM,11072002,MI
CUSTOM,11052003,MI
CUSTOM,06172003,MI
CUSTOM,04141999,MI
CUSTOM,03162004,MI
CUSTOM,04192006,MI
CUSTOM,09091999,MI
AUGUST CONSOLIDATED,08022011,MI
STATE PRIMARY,08052008,MI
CUSTOM,10102001,MI
CUSTOM,11161999,MI
CUSTOM,05142002,MI
CUSTOM,03182002,MI
CUSTOM,03091999,MI
CUSTOM,10222002,MI
MAY CONSOLIDATED,05032016,MI
STATE GENERAL,11042014,MI
CUSTOM,03252003,MI
CUSTOM,03232004,MI
CUSTOM,06021999,MI
CUSTOM,04222003,MI
CUSTOM,04232002,MI
CUSTOM,03082003,MI
CUSTOM,09282002,MI
CUSTOM,10282003,MI
CUSTOM,06142000,MI
MAY CONSOLIDATED,05052015,MI
CUSTOM,01222002,MI
CUSTOM,04222002,MI
CUSTOM,05181999,MI
CUSTOM,08252003,MI
CUSTOM,02022000,MI
CUSTOM,09142002,MI
